city_Gdynia,city_Kraków,city_Poznań,city_Radom,city_Szczecin,city_Warszawa,city_Wrocław,delivery_company_360.0,delivery_company_516.0,delivery_company_620.0,purchase_is_weekend,purchase_day_of_week_sin,purchase_day_of_week_cos,purchase_hour_sin,purchase_hour_cos,purchase_minute_sin,purchase_minute_cos,time
0,1,0,0,0,0,0,1,0,0,0,-0.433883739117558,-0.9009688679024191,-0.25881904510252035,-0.9659258262890684,0.7431448254773941,0.6691306063588582,75.45515168444444
0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,-0.20791169081775907,-0.9781476007338057,40.42314442944444
0,1,0,0,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.9781476007338058,0.20791169081775857,72.67919957972222
0,0,1,0,0,0,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,31.860514763333335
0,1,0,0,0,0,0,1,0,0,1,-0.7818314824680299,0.6234898018587334,-0.7071067811865477,0.7071067811865474,0.9781476007338056,0.20791169081775945,63.916238469444444
0,0,0,1,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,39.08586073666667
0,0,0,0,1,0,0,1,0,0,0,0.0,1.0,0.9659258262890682,0.25881904510252096,0.9510565162951535,0.30901699437494745,50.98946270027778
0,0,1,0,0,0,0,0,1,0,1,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,0.2588190451025203,0.9945218953682734,-0.10452846326765333,23.702042048055556
0,0,0,0,0,0,1,1,0,0,0,0.0,1.0,-0.7071067811865477,0.7071067811865474,0.8090169943749475,0.5877852522924731,40.551825810277776
1,0,0,0,0,0,0,0,1,0,0,0.43388373911755823,-0.900968867902419,0.7071067811865476,0.7071067811865476,-0.40673664307580093,0.9135454576426005,100.98353969166666
0,1,0,0,0,0,0,1,0,0,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.8090169943749475,0.5877852522924731,76.24692544138888
1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.7071067811865476,-0.7071067811865475,0.3090169943749474,0.9510565162951535,71.72983571611111
0,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.8090169943749473,-0.5877852522924732,15.234351460277777
0,1,0,0,0,0,0,1,0,0,0,-0.433883739117558,-0.9009688679024191,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,78.77239885
0,1,0,0,0,0,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,-0.25881904510252157,0.9659258262890681,-0.4067366430757998,-0.9135454576426011,60.46589079694444
0,0,0,0,0,0,1,1,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.3090169943749474,0.9510565162951535,44.09536639277778
0,0,0,0,1,0,0,1,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9945218953682733,0.10452846326765368,53.82336138694444
